carat,cut_ord,clarity_ord,price
1.39,4,5,9300.449404
1.01,3,5,5961.972491
0.72,4,3,2781.356617
0.51,4,4,1482.840932
1.5,3,2,8686.641214
0.7,4,7,4445.295536
1.01,4,2,4748.945635
0.3,5,3,-570.8997962
1.29,4,3,7548.504112
1.01,3,5,5961.972491
0.33,5,5,595.6063294
1.53,4,2,9097.922297
0.85,4,2,3410.79897
0.33,5,5,595.6063294
0.6,5,7,3769.332453
0.63,4,4,2486.450931
1.04,4,2,4999.848135
2.01,3,2,12951.98371
0.71,4,3,2697.722451
0.3,3,6,481.7484769
1.74,5,4,11930.222
1.06,5,3,5785.296864
0.7,1,3,2132.952536
1.52,3,5,10227.31499
0.41,5,5,1264.679662
1.22,5,4,7581.245342
0.37,4,3,-145.839213
0.3,4,3,-731.2783791
0.54,4,3,1275.941619
0.37,5,5,930.1429957
1.5,4,6,10678.22705
0.62,3,5,2700.239994
1.33,4,2,7425.238965
1.51,3,2,8770.275381
0.31,5,7,1343.941622
0.38,5,2,-359.6282765
0.31,5,4,-29.46381671
0.34,4,6,976.6637261
0.75,2,2,2253.700138
0.28,3,6,314.4801438
1.23,3,2,6428.518717
0.75,2,3,2711.501951
1.11,5,6,7576.873135
2.07,3,3,13911.59052
1,4,3,5123.113281
0.79,5,3,3527.174366
0.31,5,4,-29.46381671
0.31,4,7,1183.563039
1,5,3,5283.491864
0.41,4,4,646.4992662
0.51,4,3,1025.039119
1.91,3,3,12573.44386
1.19,3,5,7467.387489
0.32,4,7,1267.197206
0.55,5,2,1062.152555
0.32,5,8,1885.377602
1.09,5,2,5578.39755
0.9,3,7,5957.600284
0.74,5,5,4024.607159
0.9,3,5,5041.996659
0.76,5,4,3734.073679
0.73,5,2,2567.567554
0.52,2,3,787.91612
0.73,4,3,2864.990784
0.76,4,5,4031.496909
0.48,2,4,911.1812666
1.5,1,3,8823.685862
0.37,3,3,-306.2177958
0.43,4,5,1271.569412
0.58,5,6,3144.262307
1.01,5,3,5367.126031
0.28,5,4,-280.3663164
0.53,3,4,1489.730682
0.9,3,5,5041.996659
0.3,5,7,1260.307456
1.51,4,2,8930.653964
1.01,4,2,4748.945635
0.31,5,5,428.3379962
0.66,5,5,3355.533826
0.56,4,3,1443.209952
0.28,3,6,314.4801438
0.55,5,2,1062.152555
0.29,5,8,1634.475102
0.36,5,4,388.7070162
0.31,5,3,-487.2656296
0.58,3,6,2823.505141
0.4,4,2,-352.7385262
0.29,5,4,-196.7321499
0.62,3,4,2242.438182
0.73,5,2,2567.567554
2.01,3,2,12951.98371
0.7,3,1,1538.106075
0.54,2,2,497.3826402
0.3,1,6,160.9913113
0.38,5,7,1929.380788
0.7,4,4,3071.890097
0.82,5,2,3320.275053
0.41,5,6,1722.481475
0.64,5,8,4561.670932
1.01,3,4,5504.170678
0.58,3,5,2365.703328
0.34,5,4,221.438683
0.85,5,4,4486.781178
0.91,2,2,3591.846804
0.91,4,2,3912.603969
0.5,1,5,1375.87283
1,4,5,6038.716907
1.5,3,3,9144.443027
1.26,5,4,7915.782008
0.35,4,2,-770.9093591
1.09,4,5,6791.424406
0.3,5,5,344.7038297
0.27,5,4,-364.000483
0.32,5,6,969.7739757
1.09,4,4,6333.622593
0.4,4,3,105.0632867
1.04,5,6,6991.433969
0.51,4,5,1940.642745
0.73,5,3,3025.369367
1.01,2,2,4428.188469
1.34,5,5,9042.657154
0.52,5,6,2642.457307
1.21,2,4,7016.475427
0.35,5,4,305.0728496
0.7,5,6,4147.872306
0.7,4,3,2614.088284
0.42,3,3,111.953037
0.38,4,2,-520.0068594
0.3,5,4,-113.0979833
0.91,4,2,3912.603969
1.11,4,3,6043.089114
0.3,2,8,1236.97352
0.32,5,7,1427.575789
0.42,5,5,1348.313829
0.54,5,6,2809.72564
2.03,3,5,14492.65748
0.4,2,5,699.9097469
0.57,4,4,1984.645931
0.72,5,7,4772.942452
1.3,4,3,7632.138279
1.01,4,5,6122.351074
0.39,5,2,-275.99411
0.43,5,6,1889.749808
0.77,4,3,3199.52745
0.53,5,7,3183.893287
0.65,3,8,4324.547933
0.33,4,2,-938.1776923
1.02,4,2,4832.579802
0.31,4,7,1183.563039
0.36,5,3,-69.09479676
0.3,3,7,939.5502899
0.9,3,2,3668.59122
1.05,5,3,5701.662697
1.5,2,2,8526.262632
0.9,3,4,4584.194846
0.72,3,3,2620.978034
0.42,4,5,1187.935246
0.53,4,7,3023.514704
0.51,3,3,864.6605362
0.51,5,5,2101.021328
0.86,4,2,3494.433136
1.51,4,3,9388.455777
0.37,5,4,472.3411828
0.56,4,3,1443.209952
1.59,4,5,10973.13274
0.73,5,3,3025.369367
0.31,5,8,1801.743435
0.4,3,3,-55.31529612
0.52,5,5,2184.655494
1.04,4,3,5457.649948
1,5,4,5741.293677
0.78,5,3,3443.540199
0.76,5,3,3276.271866
0.71,4,5,3613.326076
0.9,5,2,3989.348385
1.01,3,2,4588.567052
0.81,3,2,2915.883721
0.36,5,6,1304.310642
0.61,5,2,1563.957555
0.51,5,5,2101.021328
0.24,5,6,300.7006431
0.52,5,8,3558.060933
1,4,2,4665.311468
0.31,5,6,886.1398092
1.08,4,4,6249.988427
0.7,2,5,3208.934744
0.3,3,7,939.5502899
0.3,5,3,-570.8997962
0.7,3,5,3369.313327
0.72,5,2,2483.933387
0.3,5,7,1260.307456
0.76,4,3,3115.893283
0.41,3,3,28.31887046
0.41,4,3,188.6974533
0.4,3,2,-513.1171091
1.54,2,3,9318.601111
0.55,5,6,2893.359807
0.57,5,3,1687.222701
0.53,5,5,2268.289661
0.33,3,5,274.8491637
1.53,4,2,9097.922297
0.52,5,3,1269.051868
1.01,3,7,6877.576117
0.91,3,3,4210.027199
0.54,4,5,2191.545245
0.53,4,3,1192.307452
1.02,4,5,6205.98524
0.3,4,4,-273.4765661
2.05,5,2,13607.27754
0.3,4,5,184.3252468
0.3,4,4,-273.4765661
0.9,3,4,4584.194846
2.25,5,2,15279.96087
0.42,5,7,2263.917454
0.7,2,2,1835.529305
1.2,3,3,6635.41803
1.52,4,3,9472.089943
0.33,5,7,1511.209955
1.21,4,6,8252.836218
0.23,3,6,-103.6906891
0.31,5,6,886.1398092
0.5,5,3,1101.783535
1.01,3,3,5046.368865
0.76,5,5,4191.875492
0.31,4,6,725.7612263
1.77,5,2,11265.52088
0.4,3,3,-55.31529612
0.51,3,5,1780.264162
0.54,5,7,3267.527453
0.3,5,3,-570.8997962
1.06,5,2,5327.495051
0.81,5,4,4152.244512
0.58,5,3,1770.856868
0.53,2,3,871.5502865
0.3,3,3,-891.6569619
1.09,4,3,5875.82078
1.17,5,2,6247.470883
1.53,5,5,10631.70632
1.03,2,2,4595.456802
0.35,4,3,-313.1075462
1,3,5,5878.338324
2.01,4,2,13112.36229
0.32,4,4,-106.208233
1.01,5,2,4909.324218
0.4,3,5,860.2883298
1.12,4,2,5668.921467
1.24,3,6,8343.360135
0.52,5,5,2184.655494
0.82,3,6,4830.725139
1.05,2,2,4762.725136
1,3,5,5878.338324
0.81,3,3,3373.685534
1.02,3,4,5587.804845
0.75,1,4,3008.925181
0.4,3,2,-513.1171091
2.04,4,2,13363.26479
0.52,5,5,2184.655494
0.8,3,5,4205.654993
1.01,3,4,5504.170678
0.43,4,3,355.9657864
1.13,4,7,8041.564699
0.4,5,8,2554.450934
1.05,4,4,5999.085927
0.41,2,5,783.5439135
1.01,5,5,6282.729657
0.7,1,3,2132.952536
0.55,5,7,3351.16162
0.53,5,5,2268.289661
1.16,5,5,7537.242155
0.3,5,4,-113.0979833
0.7,5,5,3690.070493
0.33,3,6,732.6509767
0.71,4,5,3613.326076
0.71,4,4,3155.524264
0.33,5,8,1969.011768
1.58,5,3,10134.27353
1.63,4,4,10849.86759
0.38,5,8,2387.182601
1.29,4,4,8006.305925
1.1,3,2,5341.274551
1.73,4,2,10770.60563
1.01,1,3,4725.611699
0.41,3,2,-429.4829425
0.9,4,5,5202.375241
0.3,5,4,-113.0979833
0.27,5,4,-364.000483
0.28,3,3,-1058.925295
1.17,5,5,7620.876322
1.02,4,3,5290.381614
0.34,5,7,1594.844122
0.45,2,4,660.2787669
0.75,5,2,2734.835887
0.31,5,6,886.1398092
0.38,5,6,1471.578975
0.39,4,5,937.032746
0.54,5,3,1436.320202
0.7,4,3,2614.088284
0.31,5,8,1801.743435
1.21,5,5,7955.412988
0.33,4,4,-22.57406639
1.11,3,4,6340.512344
0.31,5,5,428.3379962
0.32,3,5,191.2149971
0.28,3,6,314.4801438
2.17,3,2,14290.13037
0.35,2,5,281.738914
0.57,5,7,3518.429953
1.02,5,3,5450.760197
0.77,5,5,4275.509659
0.55,5,2,1062.152555
0.91,4,3,4370.405782
1.01,3,5,5961.972491
0.33,5,6,1053.408142
0.9,2,5,4881.618076
0.31,4,5,267.9594134
0.3,5,4,-113.0979833
0.39,5,2,-275.99411
0.63,3,4,2326.072348
0.71,5,3,2858.101033
1.02,5,5,6366.363823
0.56,3,5,2198.434995
0.53,5,4,1810.487848
0.92,2,2,3675.48097
0.3,5,4,-113.0979833
0.52,3,6,2321.700142
0.36,5,4,388.7070162
2.02,5,2,13356.37504
0.54,5,5,2351.923827
0.76,3,4,3413.316514
1.21,3,5,7634.655822
0.3,4,5,184.3252468
0.9,3,3,4126.393033
0.36,5,2,-526.8966097
0.71,5,3,2858.101033
1.09,5,5,6951.802989
0.31,5,6,886.1398092
0.3,3,4,-433.8551489
0.4,5,5,1181.045495
0.3,5,6,802.5056426
1.7,4,5,11893.10857
0.43,3,3,195.5872036
0.53,5,6,2726.091474
0.41,5,4,806.8778491
0.72,4,3,2781.356617
1,2,5,5717.959742
0.37,5,6,1387.944809
0.5,3,3,781.0263696
0.31,5,7,1343.941622
1.01,3,5,5961.972491
0.33,5,5,595.6063294
0.35,2,3,-633.8647118
0.3,5,6,802.5056426
0.37,4,5,769.7644129
1.21,5,5,7955.412988
1.05,5,6,7075.068136
1.11,4,5,6958.69274
0.57,5,5,2602.826327
1.01,3,2,4588.567052
0.51,5,5,2101.021328
0.52,5,4,1726.853681
0.58,5,3,1770.856868
0.26,3,7,605.0136236
0.85,1,1,2471.861408
0.43,5,7,2347.551621
0.25,5,7,842.1366226
0.78,5,3,3443.540199
1,5,3,5283.491864
0.31,2,2,-1426.203191
0.44,4,5,1355.203579
0.5,4,6,2314.810391
1.82,3,3,11820.73636
0.4,3,6,1318.090143
0.33,4,5,435.2277465
0.71,4,3,2697.722451
2.03,3,5,14492.65748
0.25,5,4,-531.2688162
1.1,4,5,6875.058573
0.91,3,4,4667.829012
0.54,5,4,1894.122015
0.9,2,3,3966.01445
1.09,2,3,5555.063615
1.57,5,1,9135.035733
0.71,5,4,3315.902846
0.72,2,5,3376.203077
1.12,5,3,6287.101863
0.31,5,8,1801.743435
0.7,5,3,2774.466867
0.53,5,4,1810.487848
0.3,5,8,1718.109268
0.73,4,6,4238.396223
0.4,4,4,562.8650997
1.09,4,3,5875.82078
1.21,4,5,7795.034405
0.32,5,6,969.7739757
0.31,5,7,1343.941622
0.43,4,8,2644.974851
0.3,5,5,344.7038297
1,5,1,4367.888238
0.3,5,2,-1028.701609
0.61,3,5,2616.605828
0.33,3,3,-640.7544622
0.62,4,5,2860.618577
1.1,4,5,6875.058573
0.32,5,4,54.17034987
1.08,3,3,5631.808031
0.41,5,2,-108.7257768
1,5,3,5283.491864
1,5,3,5283.491864
0.37,5,8,2303.548434
0.35,4,2,-770.9093591
1.2,2,3,6475.039447
0.5,4,3,941.4049525
0.43,5,6,1889.749808
0.42,3,5,1027.556663
0.59,5,3,1854.491034
1.4,5,2,8171.056714
0.66,2,5,2874.398078
1.02,5,5,6366.363823
0.53,5,5,2268.289661
0.51,2,3,704.2819534
0.42,3,2,-345.8487759
2.03,5,2,13440.00921
0.41,4,4,646.4992662
0.41,5,4,806.8778491
0.3,3,5,23.94666399
1.11,5,5,7119.071322
0.31,3,5,107.5808306
0.7,2,3,2293.331118
0.4,4,3,105.0632867
0.33,5,2,-777.7991094
0.9,3,2,3668.59122
0.31,5,5,428.3379962
1.15,5,5,7453.607989
1.01,5,6,6740.53147
0.42,5,4,890.5120156
0.91,5,4,4988.586178
1.26,4,3,7297.601612
1.28,5,4,8083.050341
1.17,5,6,8078.678135
1.02,4,2,4832.579802
0.57,5,5,2602.826327
0.91,3,5,5125.630825
1,5,5,6199.09549
0.7,2,4,2751.132931
1.14,3,5,7049.216656
0.9,3,2,3668.59122
0.3,5,8,1718.109268
0.27,5,4,-364.000483
0.34,5,8,2052.645935
0.33,5,8,1969.011768
2,5,2,13189.10671
0.7,4,5,3529.69191
0.37,2,5,449.0072472
0.73,5,5,3940.972992
0.38,5,3,98.17353639
1,4,4,5580.915094
0.39,4,8,2310.438185
0.51,4,5,1940.642745
0.7,3,3,2453.709701
1.11,2,2,5264.530135
0.34,5,7,1594.844122
1.25,5,3,7374.346029
0.52,5,3,1269.051868
1,3,2,4504.932886
0.33,5,7,1511.209955
1.8,5,2,11516.42338
0.3,2,4,-594.2337318
0.7,3,4,2911.511514
1.08,5,5,6868.168823
0.61,2,1,625.0199933
1.1,4,5,6875.058573
0.41,4,5,1104.301079
0.33,3,5,274.8491637
0.5,4,3,941.4049525
0.38,4,4,395.5967665
2.01,5,2,13272.74088
0.42,5,3,432.7102027
1.52,5,3,9632.468526
0.53,5,4,1810.487848
0.7,3,8,4742.718766
0.72,5,5,3857.338826
0.9,3,3,4126.393033
1.22,5,3,7123.443529
0.25,3,7,521.379457
2.03,5,5,14813.41465
1.02,5,2,4992.958384
0.74,5,4,3566.805346
1.24,4,3,7130.333279
1.15,4,2,5919.823967
2.01,4,2,13112.36229
0.71,4,8,4986.731515
0.56,5,2,1145.786722
1.01,5,3,5367.126031
0.31,5,8,1801.743435
1.19,5,2,6414.739216
0.5,5,5,2017.387161
1.02,4,3,5290.381614
0.38,4,3,-62.20504644
0.41,5,6,1722.481475
1.52,5,2,9174.666713
1.22,5,5,8039.047155
0.53,5,5,2268.289661
0.4,3,3,-55.31529612
0.33,4,3,-480.3758793
0.31,5,4,-29.46381671
1.14,4,3,6293.991613
1.32,4,2,7341.604799
0.23,3,7,354.1111238
0.41,3,6,1401.724309
2.24,5,2,15196.32671
0.55,5,5,2435.557994
2.32,1,3,15681.68752
1.25,5,5,8289.949654
0.31,5,3,-487.2656296
2.01,1,5,14004.63198
0.55,5,3,1519.954368
0.7,3,6,3827.11514
1.51,2,4,9525.500424
0.31,5,7,1343.941622
0.95,5,3,4865.321031
0.24,5,4,-614.9029827
0.4,4,2,-352.7385262
1.25,4,2,6756.165633
0.24,3,7,437.7452904
0.83,5,3,3861.711032
1.01,3,5,5961.972491
0.27,3,7,688.6477901
1.1,5,4,6577.635343
0.3,4,6,642.1270598
0.52,5,3,1269.051868
0.4,5,8,2554.450934
1.3,4,3,7632.138279
1.71,5,4,11679.3195
0.52,5,5,2184.655494
0.33,5,7,1511.209955
1,3,6,6336.140137
0.5,4,4,1399.206765
0.91,3,3,4210.027199
1.21,5,4,7497.611175
0.51,5,5,2101.021328
0.41,4,6,1562.102892
0.94,3,2,4003.127886
0.31,4,3,-647.6442125
0.4,5,5,1181.045495
1.12,5,3,6287.101863
1,2,3,4802.356116
1.48,4,2,8679.751464
0.32,5,3,-403.6314631
0.76,2,8,5084.145182
0.42,5,3,432.7102027
0.5,2,3,620.6477868
0.83,3,5,4456.557493
0.32,3,4,-266.5868158
0.7,5,4,3232.26868
0.73,5,4,3483.17118
0.71,3,4,2995.145681
0.35,4,3,-313.1075462
0.42,4,3,272.3316199
0.81,5,5,4610.046325
0.32,5,5,511.9721628
0.85,4,1,2952.997157
0.71,2,3,2376.965285
0.32,3,6,649.0168101
1.09,4,3,5875.82078
0.35,4,5,602.4960797
0.82,4,2,3159.89647
1.03,4,3,5374.015781
0.5,1,4,918.0710169
0.8,5,5,4526.412158
1.12,4,2,5668.921467
1.62,4,5,11224.03523
1.22,5,3,7123.443529
0.52,5,7,3100.25912
1.11,2,5,6637.935574
0.31,3,3,-808.0227953
0.42,5,4,890.5120156
0.32,5,5,511.9721628
0.9,3,3,4126.393033
1.04,5,3,5618.02853
0.35,5,5,762.8746625
0.5,1,5,1375.87283
0.36,3,3,-389.8519624
0.3,4,2,-1189.080192
0.7,3,3,2453.709701
0.41,3,4,486.1206834
0.4,4,5,1020.666913
1.1,4,2,5501.653134
0.74,3,2,2330.444555
0.51,5,5,2101.021328
0.27,3,7,688.6477901
1.01,5,5,6282.729657
1.37,3,2,7599.397049
1.01,4,3,5206.747448
0.39,1,3,-459.7066284
0.51,4,3,1025.039119
0.5,4,6,2314.810391
1.55,5,2,9425.569213
0.3,5,8,1718.109268
2,4,2,13028.72813
0.35,4,4,144.6942668
0.33,5,5,595.6063294
1,3,5,5878.338324
0.93,2,2,3759.115137
0.25,4,6,223.9562269
0.7,2,3,2293.331118
1.01,5,5,6282.729657
0.53,4,6,2565.712891
1.51,4,5,10304.0594
0.23,3,4,-1019.294315
0.38,4,5,853.3985794
0.3,2,6,321.3698941
0.3,5,4,-113.0979833
1.01,2,3,4885.990282
0.8,4,3,3450.42995
0.7,5,4,3232.26868
0.7,2,4,2751.132931
1.26,5,2,7000.178382
1.09,5,6,7409.604802
1,3,2,4504.932886
0.6,5,4,2395.927014
0.32,4,3,-564.0100459
0.41,5,6,1722.481475
0.32,4,5,351.59358
0.4,3,4,402.4865168
3,3,1,20773.96439
0.56,4,5,2358.813578
0.9,2,2,3508.212637
0.36,5,7,1762.112455
0.31,3,5,107.5808306
1.19,3,3,6551.783863
0.56,5,7,3434.795787
0.7,4,5,3529.69191
0.71,4,7,4528.929702
0.52,3,7,2779.501955
0.33,4,2,-938.1776923
0.34,5,5,679.240496
1.19,3,7,8382.991115
0.4,4,4,562.8650997
1.07,3,5,6463.77749
1.61,5,5,11300.77965
1,4,4,5580.915094
1.07,5,3,5868.93103
0.41,5,5,1264.679662
2.03,4,2,13279.63063
0.58,5,4,2228.658681
0.8,3,3,3290.051367
0.32,5,5,511.9721628
0.7,5,3,2774.466867
0.79,4,3,3366.795783
0.93,3,5,5292.899158
0.37,3,5,609.38583
0.41,4,5,1104.301079
0.31,5,2,-945.0674426
0.7,5,5,3690.070493
0.53,5,5,2268.289661
0.3,3,5,23.94666399
0.95,3,2,4086.762053
0.41,4,6,1562.102892
1.34,4,2,7508.873132
1,3,3,4962.734698
0.42,4,4,730.1334328
0.41,4,4,646.4992662
0.5,5,7,2932.990787
0.46,4,2,149.0664732
0.35,5,8,2136.280101
0.82,5,5,4693.680492
2.48,3,2,16882.78954
0.35,4,4,144.6942668
1.52,4,2,9014.28813
1.07,5,6,7242.336469
0.61,5,2,1563.957555
0.39,3,6,1234.455976
0.71,4,2,2239.920638
0.51,1,3,543.9033706
1.67,5,3,10886.98102
1,4,1,4207.509655
0.3,2,5,-136.4319188
1.22,3,3,6802.686363
0.72,5,5,3857.338826
0.94,4,3,4621.308282
0.51,5,2,727.615889
1.01,3,3,5046.368865
0.41,4,2,-269.1043596
0.3,3,3,-891.6569619
1.11,4,2,5585.287301
0.5,5,3,1101.783535
1.2,2,5,7390.643073
0.56,5,3,1603.588535
0.9,4,3,4286.771616
1,1,4,5099.779346
0.35,5,4,305.0728496
0.31,5,5,428.3379962
0.71,3,5,3452.947494
0.3,4,6,642.1270598
0.3,5,4,-113.0979833
1,3,8,7251.743763
0.3,4,6,642.1270598
1.48,5,2,8840.130047
1.5,5,3,9465.200193
2.35,4,2,15955.92396
0.5,2,3,620.6477868
0.38,5,2,-359.6282765
1.06,5,4,6243.098677
0.33,5,5,595.6063294
0.7,1,1,1217.34891
0.3,5,5,344.7038297
1.5,2,2,8526.262632
0.34,3,7,1274.086956
0.59,4,4,2151.914265
0.81,4,3,3534.064116
0.55,5,6,2893.359807
0.31,5,4,-29.46381671
0.91,2,5,4965.252242
0.4,4,3,105.0632867
0.81,5,5,4610.046325
0.31,5,8,1801.743435
1.1,4,3,5959.454947
0.31,3,6,565.3826435
0.45,5,7,2514.819954
0.32,5,5,511.9721628
0.32,5,8,1885.377602
0.31,4,3,-647.6442125
1,3,2,4504.932886
2.02,4,2,13195.99646
2.01,4,2,13112.36229
1.02,3,3,5130.003032
1.16,5,2,6163.836716
0.77,3,3,3039.148867
0.59,4,8,3983.121516
0.34,4,2,-854.5435257
0.3,2,8,1236.97352
0.58,5,3,1770.856868
0.52,3,4,1406.096516
0.33,4,7,1350.831372
1.38,5,2,8003.788381
0.71,5,2,2400.29922
0.96,1,2,3849.639054
1.02,5,7,7281.967449
0.53,2,5,1787.153912
0.9,4,2,3828.969803
0.34,1,1,-1793.481087
0.36,3,5,525.7516634
0.83,3,4,3998.75568
1.3,4,8,9921.147343
1.02,5,3,5450.760197
0.34,5,6,1137.042309
0.54,2,4,1412.986266
0.56,4,4,1901.011765
2.37,5,5,17656.97631
1.15,5,2,6080.20255
0.4,5,4,723.2436825
1.59,5,6,11591.31313
1.42,3,6,9848.775133
0.31,5,6,886.1398092
0.57,5,8,3976.231766
0.7,4,5,3529.69191
0.41,3,3,28.31887046
0.55,3,3,1199.197203
1.01,5,5,6282.729657
0.24,3,6,-20.05652253
0.3,3,3,-891.6569619
1.13,5,3,6370.73603
0.72,4,3,2781.356617
0.52,5,2,811.2500555
1,3,3,4962.734698
0.47,3,4,987.9256829
0.41,5,2,-108.7257768
0.51,4,3,1025.039119
1,3,3,4962.734698
1.55,2,5,10317.8389
0.71,3,5,3452.947494
1.21,5,5,7955.412988
1.95,3,5,13823.58415
1.51,4,3,9388.455777
0.3,4,5,184.3252468
0.72,3,5,3536.58166
0.31,5,6,886.1398092
0.53,5,5,2268.289661
0.71,3,2,2079.542055
1.07,5,3,5868.93103
0.24,3,4,-935.6601484
1,3,8,7251.743763
0.55,5,4,1977.756181
0.52,5,5,2184.655494
0.72,5,2,2483.933387
0.9,2,3,3966.01445
0.41,5,5,1264.679662
0.33,5,3,-319.9972965
0.56,3,4,1740.633182
1.01,3,2,4588.567052
0.46,4,7,2438.075538
1.01,3,3,5046.368865
0.3,5,5,344.7038297
0.3,4,4,-273.4765661
2.02,3,2,13035.61788
0.32,5,6,969.7739757
0.35,4,4,144.6942668
0.34,5,3,-236.3631299
0.6,5,4,2395.927014
0.41,4,6,1562.102892
1.01,1,4,5183.413512
0.54,5,7,3267.527453
1.01,4,2,4748.945635
0.3,5,7,1260.307456
1.06,4,1,4709.314655
0.7,3,5,3369.313327
1.53,3,3,9395.345527
0.82,3,3,3457.3197
0.32,5,7,1427.575789
0.27,3,4,-684.7576487
0.8,5,5,4526.412158
1.11,5,4,6661.269509
0.71,4,5,3613.326076
0.61,3,2,1243.200389
1.31,3,4,8013.195675
0.71,3,3,2537.343868
0.9,4,2,3828.969803
0.9,4,5,5202.375241
0.74,5,5,4024.607159
0.3,2,4,-594.2337318
1,3,4,5420.536511
0.3,5,5,344.7038297
0.39,2,6,1074.077393
0.51,4,3,1025.039119
0.81,5,2,3236.640886
1.62,5,5,11384.41382
1.62,4,2,9850.629796
0.57,3,5,2282.069162
0.33,5,7,1511.209955
0.42,5,5,1348.313829
1.51,4,5,10304.0594
0.31,5,5,428.3379962
1.01,3,3,5046.368865
0.41,2,7,1699.147539
0.7,4,3,2614.088284
0.9,2,2,3508.212637
1.75,2,3,11074.91861
0.36,5,3,-69.09479676
0.31,5,8,1801.743435
0.8,3,3,3290.051367
0.32,2,4,-426.9653986
1.01,2,5,5801.593908
0.72,4,3,2781.356617
0.71,3,5,3452.947494
1.09,5,2,5578.39755
0.63,3,4,2326.072348
0.51,5,4,1643.219515
1.01,3,5,5961.972491
1.59,4,2,9599.727296
0.54,4,4,1733.743432
0.28,3,6,314.4801438
0.54,3,7,2946.770288
1.52,5,3,9632.468526
1.13,5,5,7286.339656
1.07,5,5,6784.534656
0.31,5,5,428.3379962
0.7,5,5,3690.070493
0.33,5,7,1511.209955
1.65,1,3,10078.19836
0.54,5,6,2809.72564
0.71,3,5,3452.947494
0.7,3,5,3369.313327
